Direction,Elevator,Floor,Garden,Layout,Region,Price,Renovation,Size,Year
南,有电梯,低楼层(共39层),静安豪景苑,2室2厅,静安,1263,精装,115.82,1995
南,无电梯,低楼层(共6层),东陆新村五街坊,2室1厅,浦东,415,毛坯,71,1995
南北,有电梯,中楼层(共11层),博学家园,2室1厅,浦东,465,毛坯,78.51,1995
东南,有电梯,中楼层(共35层),国信世纪海景,3室2厅,浦东,2206,精装,235.69,1995
南,无电梯,高楼层(共6层),鹏海小区,2室1厅,浦东,335,精装,72.66,1995
南,无电梯,高楼层(共6层),茂盛城市花园,2室1厅,闵行,490,简装,70.48,1995
南,有电梯,高楼层(共33层),汇翠花园,2室2厅,徐汇,760,毛坯,87.37,1995
南,无电梯,高楼层(共6层),广洋苑,2室2厅,浦东,700,精装,99.14,1995
南,有电梯,高楼层(共24层),新宏安大厦,2室2厅,静安,830,简装,107.97,1995
南,有电梯,高楼层(共21层),银杏家园,1室2厅,黄浦,718,简装,102.82,1995
南北,无电梯,中楼层(共6层),王家堂小区,2室1厅,徐汇,396,精装,44.2,1995
东南,有电梯,中楼层(共18层),真北二街坊,2室1厅,普陀,349,毛坯,73.52,1995
223.79平米,,3层2005年建板楼),万科蓝山,联排别墅,浦东,1180,南,3室2厅,
南北,有电梯,中楼层(共18层),好世皇马苑,3室2厅,嘉定,565,其他,140.08,1995
南,有电梯,高楼层(共17层),长桥一村,2室1厅,徐汇,408,简装,59.43,1995
南,有电梯,低楼层(共17层),中海馨园,3室2厅,徐汇,1130,简装,144.97,1995
南,无电梯,低楼层(共6层),广海花园,2室1厅,闵行,355,精装,67.17,1995
西北,有电梯,中楼层(共55层),世茂滨江花园,3室2厅,浦东,1770,精装,236.95,1995
南北,有电梯,低楼层(共16层),绿地海域笙晖(公寓),3室2厅,宝山,345,简装,94,1995
南,有电梯,低楼层(共14层),中环一号(一期),2室2厅,宝山,462,毛坯,97.39,1995
南,有电梯,低楼层(共19层),金桥爱建园,3室3厅,浦东,1250,精装,171.86,1995
南北,有电梯,高楼层(共8层),尚东国际名园,3室2厅,浦东,1230,毛坯,143.83,1995
南,有电梯,低楼层(共11层),上海绿城,4室2厅,浦东,1260,精装,147.31,1995
南,无电梯,中楼层(共5层),谨斜小区,1室1厅,徐汇,220,精装,34.62,1995
南,有电梯,高楼层(共20层),国际丽都城,5室3厅,静安,4680,精装,330.29,1995
南北,无电梯,中楼层(共4层),万科优诗美地,3室2厅,闵行,620,简装,120.37,1995
南,有电梯,高楼层(共26层),德安大厦,2室1厅,静安,730,简装,99.25,1995
南,有电梯,低楼层(共26层),仁恒河滨城(一期),3室2厅,浦东,1250,精装,131.08,1995
南,有电梯,低楼层(共31层),白金湾府邸,3室2厅,虹口,2600,精装,278.28,1995
南,有电梯,中楼层(共14层),金地湾流域(公寓),4室2厅,浦东,1300,精装,178.21,1995
南,无电梯,低楼层(共6层),恒大华城东林苑,3室1厅,浦东,465,简装,79.36,1995
南,无电梯,中楼层(共6层),河滨城市花园,2室2厅,浦东,380,精装,86,1995
南北,有电梯,低楼层(共23层),凯旋华庭,2室2厅,普陀,740,精装,111.96,1995
南,无电梯,中楼层(共5层),万科假日风景(公寓),2室1厅,闵行,598,精装,92.01,1995
南,无电梯,高楼层(共6层),远景佳苑一期,2室2厅,宝山,432,简装,96.64,1995
南北,有电梯,高楼层(共14层),新梅共和城,3室2厅,闸北,905,毛坯,125.55,1995
南北,有电梯,中楼层(共8层),绿地香颂(奉贤)(公寓),1室1厅,奉贤,115,简装,62.16,1995
南北,有电梯,中楼层(共14层),荣域飘鹰锦和花园(公寓),2室2厅,宝山,385,精装,86.88,1995
南西,有电梯,低楼层(共16层),凯德嘉博名邸,2室1厅,浦东,700,精装,89.93,1995
南,有电梯,中楼层(共25层),黄浦新苑(公寓),3室2厅,黄浦,1398,精装,158.11,1995
南,有电梯,低楼层(共21层),华润中央公园(陈翔公路1588弄),2室2厅,嘉定,443,精装,83.58,1995
暂无数据,有电梯,中楼层(共14层),象屿名城,2室2厅,松江,385,其他,91.22,1995
南,无电梯,中楼层(共6层),高兴花园,2室1厅,闵行,340,简装,70,1995
南北,无电梯,中楼层(共5层),万科金色雅筑,3室2厅,浦东,640,其他,89,1995
南,无电梯,低楼层(共6层),成亿宝盛家苑,2室2厅,宝山,260,简装,73.81,1995
南,无电梯,中楼层(共6层),呼玛五村,3室1厅,宝山,290,毛坯,75.29,1995
南,无电梯,低楼层(共6层),皇都花园(公寓),3室2厅,闵行,1150,精装,176.37,1995
南北,有电梯,中楼层(共11层),莲浦府邸(公寓),2室2厅,闵行,790,精装,116.21,1995
南,有电梯,中楼层(共25层),华润外滩九里,3室2厅,黄浦,2450,精装,187.98,1995
南,有电梯,中楼层(共31层),联洋花园(二期),3室2厅,浦东,1280,精装,149.22,1995
暂无数据,有电梯,低楼层(共20层),瑞嘉苑,2室2厅,虹口,740,其他,90.43,1995
南,无电梯,高楼层(共6层),密三小区,1室1厅,虹口,230,毛坯,39.53,1995
南,有电梯,高楼层(共32层),汇龙新城,3室2厅,黄浦,1370,精装,134.35,1995
南,有电梯,中楼层(共7层),浦润苑,2室2厅,闵行,300,其他,88.32,1995
南北,有电梯,低楼层(共13层),金谊河畔,2室2厅,浦东,550,其他,101.57,1995
南北,有电梯,低楼层(共11层),中信和平家园,2室2厅,虹口,790,精装,90.69,1995
西南,有电梯,中楼层(共35层),江临天下,3室2厅,浦东,1199,精装,135.37,1995
东南南,有电梯,低楼层(共34层),虹祺花苑(公寓),3室2厅,虹口,800,精装,145.37,1995
南,无电梯,高楼层(共6层),思浦小区,1室1厅,浦东,240,简装,49.92,1995
南,有电梯,低楼层(共11层),静安新城七区,3室2厅,闵行,698,简装,103.97,1995
南,有电梯,低楼层(共8层),红墅1858(公寓),3室2厅,松江,330,简装,89.6,1995
南,无电梯,低楼层(共6层),光华园,3室1厅,徐汇,680,毛坯,81.28,1995
东南,有电梯,低楼层(共39层),瑞虹新城(一期),4室2厅,虹口,1050,简装,177.1,1995
南西,有电梯,高楼层(共11层),愉景华庭,3室2厅,普陀,900,精装,148.26,1995
南,有电梯,低楼层(共11层),畅馨园,3室2厅,闵行,500,毛坯,131.71,1995
南,有电梯,中楼层(共32层),菊园,3室2厅,浦东,1050,精装,120.08,1995
南,有电梯,中楼层(共7层),天馨花园(公寓),3室1厅,宝山,410,简装,130.24,1995
南,有电梯,低楼层(共17层),保利御樽苑(公寓),3室2厅,浦东,650,其他,133.97,1995
南,无电梯,低楼层(共6层),枫庭丽苑,2室2厅,宝山,520,精装,96.16,1995
南北,无电梯,高楼层(共6层),天池一村,2室1厅,浦东,290,简装,54.05,1995
南,无电梯,高楼层(共6层),逸仙二村,2室1厅,宝山,260,简装,62.27,1995
南,无电梯,高楼层(共6层),长虹公寓,2室1厅,长宁,340,简装,64.09,1995
南,无电梯,中楼层(共6层),天环苑,2室2厅,浦东,220,毛坯,77.41,1995
南,无电梯,中楼层(共5层),思浦小区,2室0厅,浦东,245,简装,48.65,1995
南北,有电梯,低楼层(共33层),金地艺境(宝山),2室1厅,宝山,255,精装,71.99,1995
南北,,高楼层(共18层),棕榈滩海景城,2室2厅,奉贤,160,毛坯,90.35,1995
东南,有电梯,高楼层(共14层),幸福小镇,2室1厅,浦东,370,简装,77.42,1995
南,无电梯,低楼层(共6层),四季绿城,3室2厅,宝山,565,精装,106.65,1995
南北,有电梯,高楼层(共7层),浦江华侨城6期,3室2厅,闵行,670,精装,106.3,1995
